,Experience,Age,Disability,EducationLevel,employment_status,Cluster,Governorate,EducationLevel_Bachelor or above,EducationLevel_Middle Diploma,EducationLevel_Secondary or Below,employment_status_Daily worker,employment_status_Housewife,employment_status_Informal worker,employment_status_Self-employed,employment_status_Unemployed,Governorate_Ajloun,Governorate_Al Aqaba,Governorate_Al Kirk,Governorate_Al Mafraq,Governorate_Amman,Governorate_Balqa,Governorate_Irbid,Governorate_Jarash,Governorate_Maadaba,Governorate_Maan,Governorate_Tafileh,Governorate_Zarqa
0,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,30,No Disability,Secondary or Below,Housewife,3,Al Aqaba,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,50,No Disability,Secondary or Below,Housewife,3,Maan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,30,No Disability,Secondary or Below,Unemployed,3,Al Aqaba,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5,0,50,No Disability,Secondary or Below,Housewife,3,Ajloun,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,30,No Disability,Secondary or Below,Housewife,3,Al Aqaba,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,30,No Disability,Secondary or Below,Unemployed,3,Al Aqaba,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,30,No Disability,Secondary or Below,Housewife,3,Maan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,0,50,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0,60,No Disability,Secondary or Below,Unemployed,3,Al Aqaba,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,0,60,No Disability,Secondary or Below,Housewife,3,Maan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,30,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,0,60,No Disability,Secondary or Below,Housewife,3,Al Aqaba,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,0,30,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29,0,60,No Disability,Secondary or Below,Unemployed,3,Irbid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,50,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,0,50,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,0,50,No Disability,Secondary or Below,Informal worker,3,Irbid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,0,30,No Disability,Secondary or Below,Unemployed,3,Maan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,0,50,No Disability,Secondary or Below,Unemployed,3,Ajloun,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,60,No Disability,Secondary or Below,Housewife,3,Ajloun,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,0,30,No Disability,Secondary or Below,Unemployed,3,Irbid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
47,0,50,No Disability,Secondary or Below,Self-employed,3,Irbid,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,0,30,No Disability,Secondary or Below,Unemployed,3,Al Aqaba,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50,0,50,No Disability,Secondary or Below,Unemployed,3,Irbid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,0,30,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,0,60,No Disability,Secondary or Below,Unemployed,3,Irbid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
53,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,0,50,No Disability,Secondary or Below,Housewife,3,Maan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,0,60,No Disability,Secondary or Below,Unemployed,3,Irbid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,0,50,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0,60,No Disability,Secondary or Below,Housewife,3,Irbid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,60,No Disability,Secondary or Below,Housewife,3,Ajloun,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
